,Job_Title,Company,Experience,Salary,Location,Job Domain,Description,Tags,Posting Date,Scraping Date,Link
85,Head Information Technology,Headhunter,15-22 Yrs,"25,00,000 - 32,50,000 PA.",Bengaluru,IT Jobs,"RoleTo lead Information Technology (IT) Strategy, Plans and Processes for the Company. Job involves managing the IT Infrastructure, Hardware, Software, Products and Applications inclusive of the Digital Transformation initiatives.Key ResponsibilitiesOverall responsibility of the IT function, leading a team of IT professionalsLeading Information Technology and Digital Transformation Strategy, taking the company to the next levelAssess new areas of Digitization and Automation and implement within specified time frameDevising and establishing IT policies and Processes to support the organizationManage the overall IT Infrastructure inclusive of Hardware, Software, Applications and Products inclusive of SAP, SFDC, Primavera, Engineering & Design and other applications with improvement in efficiency and uptime of the IT InfrastructureEnable and facilitate business with digital marketing, including SEO/SEM, marketing database, email, social media etc.Plan, implement and monitor Remote Monitoring System in consultation with business heads and also facilitate upgrade to next level of diagnosticsIdentify IT trends and insights, and optimize spend and performance based on the insightsRequired Candidate profileQualificationDegree in Engineering / Master of Computer Applications (MCA)Desired Age35-40 yearsExperience15-20 Years of experience, preferably with 2-3 years in leading the IT function of a manufacturing / IT company","['Application Software', 'Social Media', 'Media Planning', 'SEM', 'Digital Marketing', 'Digital Transformation', 'SEO', 'Remote Monitoring']",2 Days Ago,,https://www.naukri.com/job-listings-head-information-technology-headhunter-bengaluru-bangalore-15-to-22-years-230620000601?src=jobsearchDesk&sid=15930825021523338&xp=2&px=1
86,Information Technology,Exide Life Insurance Company Limited,2-5 Yrs,Not disclosed,Bengaluru,IT Jobs,"Primary skill would be the ability to provide framework and structure to deliveries The candidate must have the ability to translate business requirements to developersPrimary skill would be the ability to provide framework and structure to deliveriesJob DescriptionPosition SummaryThe role involves managing business critical deliveries; these could be application changes or a completely new application. The primary role will be with the Business Analyst team , therefore ability to gauge the requirements and the ability to quickly churn out an approach plan would be key. The person will need to liaise with key stakeholders from the various business teams , development teams and infrastructure teams to ensure applications are delivered as specified. Role involves managing deliveries - one will be working with multiple teams at different points Key role would be to provide an eco - system for the teams to make deliveries aligned to a preset plan. The person needs to be aware of tech changes and the ability to suggest / present business cases on how technology can address business pain points. Should be able to evaluate technologies and recommend POC which can empower business Key AccountabilitiesStakeholder management Plan and timely deliver changes Vendor Management For deliveries Ability to challenge the status quo and follow up with multiple teams to get logical closures on Should be able to Translate business requirements to the Development teams(Internal and External)","['Head Business Development', 'Vendor Manager', 'Business Analyst', 'Business analysis', 'Enterprise applications', 'Infrastructure', 'Manager Technology', 'Business management']",30+ Days Ago,,https://www.naukri.com/job-listings-information-technology-exide-life-insurance-company-limited-bengaluru-bangalore-2-to-5-years-151118500477?src=jobsearchDesk&sid=15930825385045590&xp=1&px=2
87,Information Technology Manager - I,Arrow Electronics India Pvt ltd,3-7 Yrs,Not disclosed,Bengaluru,IT Jobs,"Position: Information Technology Manager - IPrincipal AccountabilitiesThe Infrastructure Engineer under moderate supervision is responsible for designing, developing, implementing, and supporting the infrastructure. This involves analyzing, configuring, testing and implementing the infrastructure. This may also involve monitoring and controlling the performance and status of the infrastructure. This role will also support and maintain the infrastructure. This may include evaluating and making recommendation in enhancements to the existing infrastructure.Plan, engineer and design the infrastructure.Develop and configure the infrastructure from conceptualization through stabilization using various computer platforms to include test, debug, performance analyze and document infrastructure components.Implement the infrastructure by analyzing the current system environment and infrastructure, using technical tools and utilities, performing complex product customization, and developing implementation and verification procedures to ensure successful installation of systems hardware/software.Implement test plans (including functionality, integrity, and stress testing: test matrices: and definition of test methodologies and strategy.Perform routine infrastructure analysis, and evaluation on resource requirements necessary to maintain and/or expand service levels.Job ComplexityRequires in-depth knowledge and experienceSolves complex problems; takes a new perspective using existing solutionsWorks independently; receives minimal guidanceActs as a resource for colleagues with less experienceRepresents the level at which career may stabilize for many years or even until retirementContributes to process improvementsTypically resolves problems using existing solutionsProvides informal guidance to junior staffWorks with minimal guidanceExperience / EducationTypically requires 10-15 years of related experience with a 4 year degree; or 3 years and an advanced degree; or equivalent work experience.","['Stress testing', 'Junior Staff', 'Debugging', 'Conceptualization', 'Infrastructure', 'Hardware', 'Information technology', 'Monitoring']",30+ Days Ago,,https://www.naukri.com/job-listings-information-technology-manager-i-arrow-electronics-india-pvt-ltd-bengaluru-bangalore-3-to-7-years-111119502130?src=jobsearchDesk&sid=15930825385045590&xp=2&px=2
88,"QA Engineer (test Automation) For Pune, Hyderabad & Bengaluru",Persistent Systems Limited.,7-10 Yrs,Not disclosed,"Pune, Bengaluru, Hyderabad",Testing Jobs,None,"['cd', 'python', 'java', 'web services', 'selenium', 'protractor', 'ci', 'linux']",2 Days Ago,,None
89,Automation Test Engineer-ruby,Mphasis Limited,4-6 Yrs,Not disclosed,Bengaluru,Testing Jobs,None,"['Agile Testing', 'QA', 'Java', 'Cloud Testing', 'Selenium Webdriver', 'Automation Framework', 'Automation Testing', 'Atdd']",Today,,None
90,Senior QA Engineer - Testing,Maersk Line,3-8 Yrs,Not disclosed,Bengaluru,Testing Jobs,"Maersk is looking for Senior QA Engineer - Testing function.We offerTo working as a member of an Agile development team working within a cross functional teams to develop existing and new testing libraries and frameworks covering functional and / or performance test automation.    Key responsibilities- Develop manual & automated tests, framework and solutions across the test lifecycle- Design automation scripts for E2E UI & Webservice testing.- Working within an Agile environment with TDD and/or BDD to challenge and improve testing coverage as well as dependencies and outcomes.- Work with the wider Maersk Testing Community to share experiences and ensure a coordinated and mutually supportive approach to automation across Maersk IT.- Participating in decision-making regarding the integration of software packages and programmes to support Test Automation.- Support continuous improvement of the automation capability with the teams by proposing enhancements based on testing need and/or industry advances.- Technical Experience of:Java/Java Script to support scriptingHTTP, RESTful API's, ClientsCucumber-JVM, Gherkin, SeleniumSOAPUI, SQL/OracleQuality Centre, JiraWe are looking for- Minimum 3-5 years Test Automation experience from an Agile background using BDD and/or TDD methods.- Experience of translating a business need into a robust and integrated test solution.- Experience with designing test scenarios/cases for UI, E2E & services.- Development automation frameworks and scripts across multiple testing levels and technologies, ideally against Microservices architecture.- Experience working alongside 3rd party partners and suppliers in an onshore/offshore model.- Experience of working with test wider internal and external test communities to develop shared and common test automation approaches.- Experience with UI & Webservice integration test.- Experience working in the transportation industry or related field with solid understanding of the platforms and processes involved (Is an Added Advantage)- Strong communication, coordination and organization skills- Strong analytical skills with the ability to work independently to meet predefined project deadlines- Ability to take ownership of tasks and drive them to completion- Excellent communication skill- Strong planning skills- Fluent verbal and written EnglishInterested applicants - kindly mail your recent resume on rbh019@maersk.com","['Behavioural Driven Development', 'selenium testing', 'fluent english', 'automation testing', 'cucumber', 'quality assurance engineering', 'javascript', 'soapui sql oracle']",2 Days Ago,,https://www.naukri.com/job-listings-senior-qa-engineer-testing-maersk-line-bengaluru-bangalore-3-to-8-years-220620006889?src=jobsearchDesk&sid=15930826123225201&xp=1&px=2
91,Software Test Engineer @australia Based Company,NthStar Services,4-7 Yrs,"4,00,000 - 6,00,000 PA.",Surat,Testing Jobs,"Setting up, maintaining, and performing test automation frameworks on multiple Application platforms, such as Mobile, Desktop, and Web, and building test scenarios.Designing features in collaboration with various stakeholders and offering inputs on the testability of functional elements and product designs.Investigating customer problems, testing bugs; creating and managing bug reports.Handling technical communications and understanding the customers' systems.Work with external providers (e-Commerce and Payment gateways, etc.) to understand and design a product integration plan.Managing the final quality on production release.Strong technical writing, interpersonal and communication skills.Candidates with Problem Solving Skills, Generate Innovative IdeasMust be able to work independently, as well as within teams.Good at debugging web and mobile-based issuesRequired Candidate profileStrong knowledge of software QA methodologies, tools and processesTesting experience with Android, IOS & WebTesting experience in web services and web API development in REST/SOAPExperience in writing clear, concise and comprehensive test plans and test casesUnderstanding both white box and black box testingPossess good exposure on functional, Integration, Installation, Upgrade, Compatibility, GUI, Smoke, Accessibility, Ad hoc and Regression testing. And also well versed with Persona-based and monkey testing.Hands on knowledge of Non-functional testing such as Performance, Security and Load testing.Should have a good understanding of cloud and various device farms.Mobile Testing on different platforms in devices through Perfecto and Device Farms and on Physical devices.Have working knowledge on different operating systems. Added advantage if you have knowledge of Linux Environment.","['qa', 'technical writing', 'test scenarios', 'interpersonal communication', 'automation testing', 'web technologies', 'Problem Solving', 'payment gateways']",Today,,https://www.naukri.com/job-listings-software-test-engineer-australia-based-company-nthstar-services-surat-4-to-7-years-110520001446?src=jobsearchDesk&sid=15930826123225201&xp=2&px=2
92,System Programming/ C & UNIX Developer,Dark Bears,1-6 Yrs,Not disclosed,Jaipur,System Programming Jobs,"Software development in Linux using C and shell programming. Development will be done using Linux System calls such as sockets, signals, shared memory, file management and IPC.Desired Candidate Profile:-Experience in advance C programming using LINUX system calls.Sound expertise in C and shell scriptingVery strong technical foundation and the ability to work in a collaborative atmosphere with end-users and members of the development team.Knowledge of HTTP protocol and load testing tools will be a plus.",['Unix system programming'],30+ Days Ago,,https://www.naukri.com/job-listings-system-programming-c-unix-developer-dark-bears-jaipur-1-to-6-years-140520500856?src=jobsearchDesk&sid=15930826495115616&xp=1&px=1
93,Senior Software Engineer - Mainframe System Programming,EsoTeky Solutions Private Limited,8-10 Yrs,Not disclosed,Hyderabad,System Programming Jobs,Role : Main Frame Sys ProgLocation : HyderabadEmployment type : C2H 6 months to 1 yr (which get extend)Joining Date : Immediate to 20 daysExperience : 8 - 10 years- 8+ years of experience with Systems Programming (zOS and zVM) in a z13 or like system- 5+ years experience installingcustomizingupgrading and maintaining zOS and zVM latest versions- Familiarity with TPF is desired but not required- Typical responsibilities tasks would be as follows :- Planning hardware and software system upgrades and changes in configuration- Training system operators and application programmers- Automating operations- Capacity planning and monitoring- Running installation jobs and scripts- Performing installation-specific customization tasks- Integration-testing the new products with existing applications and user procedures- System-wide performance tuning to meet required levels of service- User account management- Application development is NOT a requirement for this job,"['System Programming', 'z / OS', 'System Configuration', 'Mainframe', 'Database Installation', 'Performance Tuning']",22 Days Ago,,https://www.naukri.com/job-listings-senior-software-engineer-mainframe-system-programming-esoteky-solutions-private-limited-hyderabad-secunderabad-8-to-10-years-020620906603?src=jobsearchDesk&sid=15930826495115616&xp=2&px=1
94,Z/OS System Programmer,DXC Technology India Private Limited,5-10 Yrs,Not disclosed,"Chennai, Bengaluru, Hyderabad",System Programming Jobs,"1. Installation, upgrade and maintenance of z/OS and related CA/BMC products2. Sound knowledge in SMPE3. Installation and maintenance of program products4. Proficiency in Assembler, Rexx, CLIST is expected5. Good knowledge of system initialization and tuning6. Good Knowledge & Experience in SYSPLEX7. Knowledge in HCD and working with IODF's8. Good Knowledge in Disaster Recovery9. Knowledge in storage conceptsRequired Candidate profileExcellent Communication skillsStrong troubleshootingVendor coordination & ticket coordinationBusiness knowledge, Application team coordination.Experience in supporting PROD environments.If interested and want to be part of the critical and high visibility project and grow your career with DXC- Please share updated CV  to pgupta99@dxc.com","['cics system programmer', 'z / os', 'system programming', 'clist', 'rexx', 'z / directory', 'cics', 'assembler']",19 Days Ago,,https://www.naukri.com/job-listings-z-os-system-programmer-dxc-technology-india-private-limited-chennai-bengaluru-bangalore-hyderabad-secunderabad-5-to-10-years-280420003194?src=jobsearchDesk&sid=15930826809429846&xp=1&px=2
95,Senior Engineer/ Technical Lead  -  Storage QA,Agiliad Technologies Pvt. Ltd.,3-6 Yrs,Not disclosed,Pune,System Programming Jobs,"Senior Engineer/ Technical Lead - Storage QA (Total Open Positions: 4)Date: 13 - 01 - 2020Profile:Candidate will be responsible for testing of complex software related to storage and computing systems for customer product.Essential Responsibilities include (but are not limited to):Work closely with the Technical Manager/Architect/Lead for software definition, implementation, reviews and testing. Interact with technical teams of clients for discussions on software requirements and design. Work with a team of co - developers and testers towards common project goals.Desired Skills Experience:Candidate must have strong Storage background with 3 to 8 years of experience in one or more of SAN, NAS, Block level protocols (SCSI, iSCSI, Fibre Channel, Fibre Channel over Ethernet), File level protocols (NFS, CIFS), Replication, High Availability, Data Deduplication, Backup/Restore, NDMP, Virtualization. Must have strong system programming skills in Perl or Python. Must have strong problem solving skills. Qualification required: B.E/B.Tech/MCA.Upload Your Resume (PDF)Work closely with the Technical Manager/Architect/Lead for software definition, implementation, reviews and testing.Interact with technical teams of clients for discussions on software requirements and design.Work with a team of co - developers and testers towards common project goals.Desired Skills & Experience:Candidate must have strong Storage background with 3 to 8 years of experience in one or more of SAN, NAS, Block level protocols (SCSI, iSCSI, Fibre Channel, Fibre Channel over Ethernet), File level protocols (NFS, CIFS), Replication, High Availability, Data Deduplication, Backup/Restore, NDMP, Virtualization.Must have strong system programming skills in Perl or Python.","['SCSI', 'SAN', 'PDF', 'ISCSI', 'Ethernet', 'System programming', 'Programming', 'Perl']",30+ Days Ago,,https://www.naukri.com/job-listings-senior-engineer-technical-lead-storage-qa-agiliad-technologies-pvt-ltd-pune-3-to-6-years-150120501520?src=jobsearchDesk&sid=15930826809429846&xp=2&px=2
96,Executive EDP,3F INDUSTRIES LTD,5-10 Yrs,Not disclosed,Chennai,EDP Jobs,BE/MCA with 5 to 10 years of experience.,['EDP'],10 Days Ago,,https://www.naukri.com/job-listings-executive-edp-3f-industries-ltd-chennai-5-to-10-years-230520000721?src=jobsearchDesk&sid=15930827269676341&xp=1&px=1
97,IT Operations / EDP / MIS Network / System Administration,SAGAR BUSINESS PRIVATE LIMITED,2-5 Yrs,"1,25,000 - 2,00,000 PA.",Bhubaneshwar,EDP Jobs,"MSSQL, ERP HANDLING, RESOLVE TECHNICAL PROBLEM, NETWORK TROUBLESHOOTING, Analytical Skill","['system administration', 'it operations', 'networking', 'network troubleshooting']",16 Days Ago,,https://www.naukri.com/job-listings-it-operations-edp-mis-network-system-administration-sagar-business-private-limited-bhubaneshwar-2-to-5-years-090620003169?src=jobsearchDesk&sid=15930827269676341&xp=2&px=1
98,Business Analyst - MSTR,Standard Chartered Global Business Services Private Limited,5-8 Yrs,Not disclosed,Chennai,EDP Jobs,"Undertake requirements solicitation from stakeholders/end users and turn into well-formed formal requirements into BRD.Dig deeper to the problems rather than superficial requirement documentation - so as to identify the root cause of the problem statement, what and why something is required.Perform AS-IS/TO-BE process mappingUndertake data analysis as required in order to validate/challenge and refine requirements. Partner with the CDO, delivery teams to ensure solution definition meets requirements and is delivered with accuracy and quality. Enabling clear traceability of the requirements (starting with the BRD) and usage of process flow diagrams, as is and to be processes clearly documented - get it right the first time. Come up with clear Test scenarios / exit criteria and engage testing team well ahead to drive the quality of testing. Support the Group COO Data requirements to review and document the strategic data requirements , working closely with both internal and external stakeholders and collaboration partners to deliver the required deliverables.You will need to develop a standard set of analytic tools to enable business to perform data analytics Be involved in the change management governance process to ensure that there is a smooth transition from Project to BAUThis role highly require candidate with strong data management , data analytics and data visualisation expertise.Required Candidate profileHighly motivated individuals with a strong track record of achievement, leadership and high-performance drive, especially with similar previous roles in Banking.A team player and enjoy interacting with people of all levels in a multicultural environment.Able to creatively apply analytical solutions to business problems and can think out of the box in adapting to changes.Ability to work under constant pressure to tight deadlines and deliver high quality output.Skills:Documentation - BRD / FSD / Business Glossary / Data Model / Test Strategy / Project Plan etc. Report Types - Requirement Matrix / Gap Analysis / Problem Analysis / Business Case, etc. Process / Data Modelling - Visio / Enterprise Architect / Erwin, Etc. Project Management Methodologies -  Waterfall SDLC , Agile, Scrum etc.Strong data analysis skills using SQL , Microstrategy or Tableau.Proven problem solving skills Proven Experience in Data Management and Data Quality Management techniques. Stakeholder Management / Analysis Soft Skills - Communication / Negotiation / Relationship Building / Influencing","['microstrategy', 'MSTR', 'data analytics', 'data management', 'Project Management', 'waterfall', 'business analysis', 'Scrum']",10 Days Ago,,https://www.naukri.com/job-listings-business-analyst-mstr-standard-chartered-global-business-services-private-limited-chennai-5-to-8-years-250520002513?src=jobsearchDesk&sid=15930827545233445&xp=1&px=2
99,MIS Executive (Data Analyst) at Vadodara,Varenyam Healthcare Pvt Ltd,4-7 Yrs,"3,00,000 - 5,00,000 PA.",Vadodara,EDP Jobs,"Developing, collating, analysing, and providing MIS that enables informed decision making on daily, weekly & monthly basis. Prepare periodic reports using structured and unstructured data sets from different sources and share with key management.Required Candidate profileKnowledge in data analysis toolsKnowledge in Advanced MS Excel, Word, PowerPointKnowledge in excel formula and its applications, and macrosAdministrative Writing skills & Good communication skillsPerks and benefitsNo constraint of salary for right candidate","['Formulas', 'MIS Preparation', 'Forms', 'Negotiation Skills', 'MIS Operations', 'Business Communication Skills', 'Advanced Excel', 'Data Entry']",10 Days Ago,,https://www.naukri.com/job-listings-mis-executive-data-analyst-at-vadodara-varenyam-healthcare-pvt-ltd-vadodara-baroda-4-to-7-years-150620003894?src=jobsearchDesk&sid=15930827545233445&xp=2&px=2
100,Globalization Sr. Software Engineer SETI + Telecom Domain 8-12 Y-pune,Persistent Systems Limited.,8-12 Yrs,Not disclosed,Pune,Telecom Software Jobs,None,"['Jenkins', 'Maven', 'Core Java', 'Bdd', 'Software Engineering', 'Globalization', 'Testng', 'Rest Api']",30+ Days Ago,,None
101,SOFTWARE DEVELOPMENT PROFESSIONALS ? C LINUX TELECOM EPC LTE,Rebaca Technologies Pvt. ltd.,2-6 Yrs,Not disclosed,"Bengaluru, Kolkata",Telecom Software Jobs,"  Experience in Mobility and 5GExperience in EPC & LTEExperience in C/ C++ DevelopmentExperience in Shell / Python scriptingUnderstanding of Stack DevelopmentUnderstanding of 3gpp specifications and releases 10/13/14/15Ability to understand Telecom Call Flows in detailKnowledge of Telecom Protocols NGAP / X2AP / HTTPV2 / S1AP / GTPV2C / GTPV1U / PFCP / Diameter / SIPExperience in Agile MethodologiesStrong Aptitude, Analytical & Logical skillsShould be proactive and able to work with minimal supervision.Excellent written & verbal communication skillsEducation : BE / B.Tech with Electronics / Computer Science background,Experience level : 2 6YearsJob location : Kolkata / Bangalore","['Computer science', 'Telecom', 'C++', 'C', 'Linux', 'Analytical', 'Agile', 'EPC']",2 Days Ago,,https://www.naukri.com/job-listings-software-development-professionals-c-linux-telecom-epc-lte-rebaca-technologies-pvt-ltd-bengaluru-bangalore-kolkata-2-to-6-years-220620500181?src=jobsearchDesk&sid=15930827953542360&xp=2&px=1
102,Sr. Software Engineer / Software Engineer - Asterisk Developer,Tetherfi Technologies,5-10 Yrs,Not disclosed,Bengaluru,Telecom Software Jobs,"JOB ROLESr. Software Engineer / Software Engineer Asterisk DeveloperBangaloreWORK EXPERIENCEUp to 5 yearsRoles & Responsibilities:Candidate will be part of our DIGITAL Transformation team liaising with Product Strategist to develop Tetherfi s Products based on CC & UC Product Streams.Will design, develop and integrate Tetherfi s existing products and future products placed under DIGITAL Product Line with Open Source IP- PBX.Candidates will be trained in Tetherfi s products to give end to end solutions on Open Source IP- PBX integrations with Tetherfi CC productsCandidate will be managing, maintaining and configuring existing Asterisk IP- PBX and integrating it with various other from major OEM like AVAYA , CISCO , etc.Will report to the Product Owners on Product development and to Delivery Owners on Project Deliverables.Expected Technical & Functional Skills:Must have Worked in UC or CC Projects, integrating Asterisk/ Free Switch IP- PBX with web applicationsExpertise in working with telephony protocols like SIP, SDP, RTP, and Web RTC.Hands- on experience in Linux with very good exposure on Linux Administration, PHP, MySQL, C# and Web maintenance.Should have Experience in designing solutions and programming with AGI, AMI and ARI interfaces for more than 2 projects involving such interfaces with external applications.Experience in managing, maintaining, installing and configuring Asterisk/ Free Switch IP PBX systemsShould have Hands on experience in designing dial plans for Complex UC & CC SolutionsCreating, Managing and Integrating service provider SIP/ VoIP Accounts with Asterisk (or) Free Switch IP- PBX and ability to configure Analogue / PRI Lines with asterisk / Free Switch IPPBXPHP programming experience for customising built- in CC platformsShould have ability to Integrate MySQL and other databases with IP- PBX for reportsAbility to work independently on challenging environment with minimal supervisionPrior Exposure to CTI, IVR any Agent Desktop Application will be a perfect fit.","['RTC', 'Web technologies', 'IVR', 'MySQL', 'VOIP', 'PHP', 'CTI', 'SIP']",30+ Days Ago,,https://www.naukri.com/job-listings-sr-software-engineer-software-engineer-asterisk-developer-tetherfi-technologies-bengaluru-bangalore-5-to-10-years-270619501390?src=jobsearchDesk&sid=15930828218194913&xp=1&px=2
103,Senior C/c++ Developer,Oracle India Pvt. Ltd.,6-9 Yrs,Not disclosed,Bengaluru,Telecom Software Jobs,None,"['c software developer', 'c++', 'oracle', 'C', 'c / c++ developer', 'c programmer', 'telecom protocols', 'cam']",30+ Days Ago,,None
104,Urgent Hiring in Tech Mahindra For Telecom Voice Process,TECH MAHINDRA LIMITED,0-5 Yrs,"50,000 - 1,50,000 PA.","Delhi NCR, Ghaziabad, Delhi, Greater Noida, Noida, Meerut",Telecom Jobs,Urgent Hiring in Tech Mahindra for Telecom Voice processQualification Required:Any Graduate or Undergraduate with minimum 6 months exp  Can applySkills Required: Excellent Communication skills + Basic Computer knowledge + Basic Process knowledgeJob Roles & Responsibilities:1) Answering premium customer queries via call Voice. 2) Establish relationship and trust with customer by ensuring qualitative service.Interview will be done only by telephonic or skype.Please share your resume @  ps00631251@techmahindra.comContact Person- Pragati Contact No - 9711639078Perks and Benefits Good Incentive Plan and cab facility in Odd Hours,"['bpo', 'domestic bpo', 'chat process', 'email process', 'customer service', 'ecommerce executive', 'online chat representative', 'blended process']",7 Days Ago,,https://www.naukri.com/job-listings-urgent-hiring-in-tech-mahindra-for-telecom-voice-process-tech-mahindra-limited-delhi-ncr-ghaziabad-delhi-greater-noida-noida-meerut-0-to-5-years-120520005116?src=jobsearchDesk&sid=15930828590673143&xp=1&px=1
105,Telecom Engineer,Madhees,5-10 Yrs,Not disclosed,Hyderabad,Telecom Jobs,"Job Description :We are looking for Telecom engineer role with 3-5 Years of relevant work experience. that is primarily responsible for overseeing global telecommunication technology support and operations, including Teams\Skype collaboration services and related voice calling and teleconferencing infrastructure. Also responsible for mobile phone and IoT cellular mobile support.Mandatory Qualifications :5+ years working extensively with telecom technologies; managing both technology implementation and support and providing telecom services for a global organization.1 - 2 years working in a supervisory role directing the work and quality output of subordinate team members.Significant working knowledge of integrated voice collaboration suites from Microsoft (Skype, Teams preferred); Cisco, Avaya, or others will qualify. Including VoIP\SIP telephony endpoints.Significant working knowledge of PSTN technologies and vendors (ISDN, PRI, POTS lines, SIP, toll-free) and PSTN interfaces (gateways, ATA s, multiplexers, SIP routers).Experiential knowledge and ability to analyze a telecommunication order form, invoice, or service report and understand the details sufficient to effectively manage such services.Working knowledge of global mobile data solutions for networking and IoT.Knowledge of mobile phone and cellular technology management in a global company.Knowledge of agent call management \ call center platforms a plus.Knowledge of Telecom Expense Management (TEM) a plus.Licensure & Certifications:  Technology certifications for Skype\Team preferred (Avay, Cisco, et al are also relevant).Roles and Responsibilities:Key AccountabilitiesEssential Functions of the Job:Ability to quickly troubleshoot technical issues and drive fast resolution time.Collaborative with technical team and other business colleagues to drive successful operational and project outcomes.Strong planning and organization skills, for self and for directing the work or others, including other business function.Oversee\manage Skype\Teams voice and meeting collaboration technology and services, including dial-in conferencing, desk\conference phones, and PSTN interfaces. Responsible for providing consistent high level of quality and quick resolution of issues when they occur. 35% of Time SpentOversee\manage global mobile phone services by working with regional and global management partners to ensure effective operations with ordering, billing, and cost control measures. 20% of Time SpentOversee\manage cellular data services, including site networking and IoT data. 15% of Time SpentOversee\manage and act as Organization champion for the TEM platform and service. Continue to drive implementation and continuous process improvement and automation. 20% of TimeSpentOversee\manage the call center platform. 10% of Time Spent ","['Automation', 'Networking', 'Process improvement', 'Billing', 'VOIP', 'Telecommunication', 'SIP', 'microsoft']",2 Days Ago,,https://www.naukri.com/job-listings-telecom-engineer-madhees-hyderabad-secunderabad-5-to-10-years-220620500250?src=jobsearchDesk&sid=15930828590673143&xp=2&px=1
106,Drive Test Engineer,Innovis Telecom Services Pvt Ltd,3-6 Yrs,Not disclosed,Gurgaon,Telecom Jobs,"JD Details-: Role: Drive Test EngineerJob Description:- Drive test of the assigned Network area using Drive Test tools and collect logs including checking the in-building coverage both for voice and data( 2G/ 3G/ LTE ) as per Test plan.- Bench mark drive test the assigned Network area both for Voice and data ( 2G/ 3G/ LTE) as per plan on 247 basis.- Drive test of the assigned area of the Network as per customer complaints and also during the visit of VVIP in the assigned area as per instruction of the Team lead on 247 basis.- Carry out physical optimisation of the Site based on drive test log and also at the instruction of the Optimisation team.- Analysis of Drive test log to find out the gap in Network quality.- Report the progress of assigned drive test activities and customer complaint case.- Prepare presentations with prediction plot and participate in technical discussions with customer.- Co-ordinate with FLM team to improve the network coverage related Antenna orientation/ Tilt.- Carry out Site Survey for RF requirement.- Manage the company assets like DT tools, Laptops, GPS, Inverter.- Basic Skill Requirement :- Good knowledge on RF fundamentals.- Basic knowledge on GSM ,WCDMA, LTE technology, Antenna Theory.- Ability to use tools like TEMS/ NEMO Drive Test Tool, Map info.- Ability to use post processing tools like Actix and NEMO Analyser.- Understand the basic RF parameters/ KPI of the GSM/ WCDMA/ LTE Network.- Basic understanding of RF planning and Optimisation Techniques.- IT skill in MS office like words, excel and power point.Job Experience :Must have 2-3years experience in RF Survey/ DT etc.Academic Qualification: Graduate in Engineering or Diploma in Engineering in Electronics/ Telecommunication.General Requirement :1. Must be holding a valid passport.2. Must be willing to travel for long periods stretching 6 months.3. ""Positive attitude in handling customer""","['GSM', 'Telecom', 'Actix', '3G', 'Drive test tool', 'Telecommunication', 'RF planning', 'Test planning']",30+ Days Ago,,https://www.naukri.com/job-listings-drive-test-engineer-innovis-telecom-services-pvt-ltd-gurgaon-3-to-6-years-051118500619?src=jobsearchDesk&sid=15930828835499874&xp=1&px=2
107,Telecom Rigger,Trignotek Systems Private Limited,0-1 Yrs,Not disclosed,Kerala,Telecom Jobs,"To climb telecom towersInstallation of BTS and E-Node BInstallation of Microwave, CDMA and GSM Antennas.Dismantling of various instruments like Microwave, CDMA, GSM antennas BTS etc.Installation and swapping of GSM Antenna 6 8 port RRH, RRU OMInstallation of Samsung 4G (LTE) CDU, RDU BTS, Microwave antenna Installation link commissioning through NEC.Installation of RRURRH and their Jumperfeeder connection to GSM antenna and CPRI Connection to 4G CDU, RDU Samsung BTS for JIO.Material mobilization in intra-site locationsCivil work as per requirementLink AlignmentRectifier (DC Power System) InstallationMale between 20 to 35 years agePhysically fit to climb towers and working at height certificationsAbility to work under pressure ","['GSM', 'Power system', 'Telecom', 'Telecom engineering', 'Civil', 'IT hardware', 'Cdma', 'NEC']",30+ Days Ago,,https://www.naukri.com/job-listings-telecom-rigger-trignotek-systems-private-limited-kerala-0-to-1-years-270120500160?src=jobsearchDesk&sid=15930828835499874&xp=2&px=2
108,Hiring freshers in BPO For Non-Voice Process,Zealous Services,18 June - 30 June,"90,000 - 1,00,000 PA.",Hyderabad(Kukatpally),BPO Jobs,"[1:04 PM, 6/17/2020] keerthi: JOB DESCRIPTION:#COMPANY NAME: Zealous ServicesExperience: FreshersSkills: Good communication skills, International BPOIndustry: ITES/BPOFunctional Area: Customer Service/Call Centre/BPOSalary : 1.0 L  +IncentivesRole: Customer Support Executive.Process : International Semi-Voice Process BPO.Shift: Night ShiftContact person - KEERTHI-HR.Contact Number - 9398878525  /Distance Edu Candidates/any Graduation and max-5 backlogs can applySoft copies of their documents are mandatory Hyderabad Venue Details:Zealous Technology Services.Reliance digital building 7th Floor,Vijay Sai Tower, Vivek Nagar,Kukatpally Main Road.Hyderabad, Telangana 500072. Landmark: Opp BJP office, near Kukatpally metro station.[1:04 PM, 6/17/2020] Zls Karthik: Ok","['night shift', 'english skills', 'international bpo', 'International Call Center', 'customer service', 'ites', 'outbound process', 'call center']",8 Days Ago,,https://www.naukri.com/job-listings-hiring-freshers-in-bpo-for-non-voice-process-zealous-services-hyderabad-secunderabad-0-to-0-years-170620003348?src=jobsearchDesk&sid=15930829333054701&xp=1&px=1
